,Mode,Radius[cm],Thickness[cm],NPanels,Theta[deg],Length[cm],Ge-77[nevents],Ge-77_CNP,Ge-77_CNP_err
0,0.0,174.0,5.5,40.0,14.0,91.0,52.0,0.3917,0.0246
1,0.0,187.0,11.4,7.0,4.0,87.1,54.0,0.3901,0.025
2,0.0,217.0,3.2,26.0,-19.0,14.1,72.0,0.3986,0.0249
3,0.0,126.0,14.2,9.0,-39.0,53.9,38.0,0.3669,0.0239
4,0.0,112.0,10.0,33.0,-28.0,16.1,61.0,0.3774,0.0239
5,0.0,142.0,12.0,6.0,3.0,36.8,52.0,0.3804,0.0242
6,0.0,178.0,3.6,6.0,-10.0,79.4,62.0,0.4003,0.0245
7,0.0,135.0,1.6,6.0,34.0,70.3,89.0,0.3445,0.0239
8,0.0,244.0,10.6,5.0,-18.0,4.0,52.0,0.4001,0.0257
9,0.0,228.0,9.0,10.0,-31.0,52.7,63.0,0.3924,0.0258
10,0.0,163.0,3.9,7.0,4.0,47.3,60.0,0.3583,0.0244
11,0.0,153.0,13.2,5.0,41.0,45.4,62.0,0.3559,0.0242
12,0.0,236.0,9.8,9.0,34.0,94.4,53.0,0.4899,0.0262
13,0.0,127.0,5.2,5.0,-23.0,12.9,77.0,0.4176,0.0236
14,0.0,151.0,6.6,7.0,-15.0,20.5,78.0,0.3937,0.0242
15,0.0,122.0,13.3,30.0,10.0,5.1,66.0,0.4032,0.0239
16,0.0,121.0,6.9,45.0,9.0,28.4,42.0,0.3691,0.0239
17,0.0,206.0,4.9,9.0,-21.0,7.8,66.0,0.3577,0.0247
18,0.0,106.0,2.4,6.0,-11.0,22.6,104.0,0.3657,0.0243
19,0.0,235.0,11.5,8.0,-16.0,87.6,56.0,0.4556,0.0267
20,0.0,229.0,3.7,6.0,45.0,21.9,75.0,0.4347,0.0256
21,0.0,254.0,5.5,6.0,17.0,14.9,78.0,0.4352,0.0256
22,0.0,113.0,4.0,11.0,20.0,11.6,71.0,0.3996,0.0239
23,0.0,184.0,10.2,5.0,16.0,41.3,52.0,0.3906,0.0247
24,0.0,235.0,10.0,16.0,25.0,40.2,56.0,0.4521,0.026
25,0.0,131.0,14.4,5.0,-24.0,29.4,54.0,0.3956,0.0239
26,0.0,186.0,4.1,18.0,11.0,27.9,81.0,0.4207,0.0244
27,0.0,241.0,6.2,4.0,-11.0,46.4,61.0,0.4143,0.0261
28,0.0,255.0,3.3,21.0,33.0,61.5,86.0,0.5058,0.026
29,0.0,140.0,2.5,6.0,-41.0,110.3,77.0,0.371,0.0244
30,0.0,119.0,1.3,6.0,24.0,11.3,95.0,0.4303,0.0234
31,0.0,219.0,6.8,6.0,-38.0,35.6,63.0,0.3791,0.0253
32,0.0,224.0,3.5,5.0,-27.0,95.0,57.0,0.4121,0.0264
33,0.0,251.0,12.3,11.0,13.0,79.0,50.0,0.5039,0.0262
34,0.0,179.0,12.2,5.0,24.0,118.4,46.0,0.3943,0.0257
35,0.0,145.0,4.8,10.0,-45.0,25.4,76.0,0.3855,0.0243
36,0.0,101.0,12.1,9.0,24.0,104.3,58.0,0.3433,0.0231
37,0.0,110.0,6.0,14.0,-10.0,92.9,60.0,0.394,0.0233
38,0.0,171.0,2.9,12.0,-43.0,70.7,75.0,0.3744,0.0245
39,0.0,113.0,1.9,5.0,22.0,93.9,91.0,0.3677,0.0235
40,0.0,205.0,9.3,6.0,-27.0,113.3,60.0,0.4062,0.0264
41,0.0,222.0,6.1,90.0,-39.0,72.9,48.0,0.4114,0.0253
42,0.0,183.0,14.1,28.0,-21.0,81.7,47.0,0.3786,0.0249
43,0.0,119.0,5.6,4.0,-26.0,119.8,91.0,0.3874,0.0236
44,0.0,95.0,9.1,6.0,-29.0,97.5,56.0,0.3958,0.0232
45,0.0,137.0,7.9,8.0,12.0,53.2,53.0,0.4167,0.0237
46,0.0,106.0,14.8,13.0,-2.0,53.6,49.0,0.3647,0.0235
47,0.0,192.0,5.2,4.0,8.0,45.9,59.0,0.4209,0.0245
48,0.0,246.0,5.9,10.0,10.0,93.1,66.0,0.4538,0.0263
49,0.0,204.0,8.9,11.0,1.0,67.2,58.0,0.3935,0.0252
50,0.0,240.0,7.1,51.0,8.0,56.0,56.0,0.4335,0.0256
51,0.0,223.0,5.0,7.0,40.0,106.1,73.0,0.4887,0.0264
52,0.0,218.0,3.8,7.0,-43.0,105.3,70.0,0.4045,0.0261
53,0.0,138.0,11.9,8.0,-25.0,19.8,53.0,0.3756,0.0242
54,0.0,214.0,12.5,5.0,20.0,10.0,54.0,0.4078,0.0249
55,0.0,183.0,4.9,5.0,19.0,9.2,87.0,0.3698,0.0244
56,0.0,177.0,8.1,10.0,30.0,95.2,38.0,0.3755,0.025
57,0.0,225.0,6.5,9.0,39.0,60.5,67.0,0.4222,0.0255
58,0.0,114.0,14.5,7.0,-7.0,110.7,41.0,0.3754,0.0237
59,0.0,125.0,7.7,8.0,-43.0,49.5,79.0,0.3697,0.024
60,0.0,213.0,2.9,7.0,9.0,112.0,71.0,0.4181,0.0262
61,0.0,156.0,2.7,9.0,-25.0,117.3,59.0,0.3475,0.0248
62,0.0,141.0,2.7,4.0,-20.0,85.1,81.0,0.3641,0.024
63,0.0,196.0,4.7,9.0,-23.0,59.4,57.0,0.4013,0.0248
64,0.0,210.0,9.6,5.0,41.0,13.4,50.0,0.4256,0.0248
65,0.0,115.0,10.9,12.0,-12.0,36.1,62.0,0.3992,0.0236
66,0.0,164.0,1.0,10.0,4.0,104.8,85.0,0.3983,0.0242
67,0.0,197.0,12.8,26.0,-5.0,10.1,62.0,0.4023,0.0246
68,0.0,214.0,8.5,17.0,-32.0,0.8,64.0,0.3843,0.0248
69,0.0,177.0,13.9,5.0,16.0,80.7,48.0,0.3659,0.0251
70,0.0,146.0,1.2,5.0,-3.0,31.2,80.0,0.3659,0.0243
71,0.0,229.0,7.2,14.0,15.0,0.1,68.0,0.3878,0.0253
72,0.0,111.0,3.0,4.0,-19.0,50.3,102.0,0.3975,0.0234
73,0.0,170.0,6.9,120.0,-2.0,15.2,51.0,0.4,0.0237
74,0.0,246.0,10.8,360.0,-12.0,23.9,57.0,0.5519,0.0247
75,0.0,120.0,6.2,7.0,14.0,113.1,76.0,0.3691,0.0236
76,0.0,143.0,4.5,40.0,43.0,79.9,49.0,0.4041,0.0239
77,0.0,128.0,2.0,60.0,-20.0,43.3,67.0,0.3581,0.0235
78,0.0,247.0,3.1,11.0,-15.0,42.6,63.0,0.4203,0.0256
79,0.0,159.0,2.4,4.0,-40.0,35.0,89.0,0.3605,0.0245
80,0.0,167.0,3.1,72.0,36.0,47.0,48.0,0.4293,0.0242
81,0.0,97.0,12.8,5.0,30.0,87.9,70.0,0.3392,0.023
82,0.0,202.0,6.7,15.0,19.0,116.8,44.0,0.4176,0.0262
83,0.0,227.0,13.0,6.0,23.0,86.0,51.0,0.4771,0.0262
84,0.0,243.0,3.4,4.0,3.0,83.5,89.0,0.4523,0.0263
85,0.0,104.0,7.4,180.0,11.0,96.7,39.0,0.428,0.0235
86,0.0,137.0,8.1,4.0,3.0,54.4,66.0,0.3794,0.0241
87,0.0,117.0,3.3,11.0,-29.0,61.1,87.0,0.3433,0.0241
88,0.0,231.0,3.2,13.0,13.0,39.7,60.0,0.402,0.0256
89,0.0,242.0,13.1,4.0,31.0,76.8,46.0,0.5383,0.0259
90,0.0,124.0,11.3,5.0,-14.0,73.0,58.0,0.367,0.0237
91,0.0,158.0,5.6,5.0,-6.0,111.4,69.0,0.3671,0.0249
92,0.0,133.0,14.4,6.0,29.0,1.0,65.0,0.4521,0.0235
93,0.0,112.0,13.2,5.0,20.0,45.1,49.0,0.3844,0.0238
94,0.0,188.0,13.9,7.0,21.0,21.2,67.0,0.4039,0.0245
95,0.0,97.0,10.1,10.0,-8.0,102.4,54.0,0.3342,0.0233
96,0.0,204.0,12.4,20.0,12.0,80.5,66.0,0.3915,0.0256
97,0.0,250.0,6.1,8.0,-36.0,78.4,39.0,0.4471,0.0266
98,0.0,110.0,12.9,360.0,-40.0,62.2,41.0,0.4982,0.0242
99,0.0,168.0,10.9,51.0,35.0,97.3,32.0,0.3601,0.0246
100,0.0,198.0,5.7,10.0,34.0,8.4,104.0,0.4267,0.0247
101,0.0,99.0,5.8,5.0,37.0,98.9,109.0,0.3465,0.0231
102,0.0,149.0,5.1,4.0,42.0,59.8,114.0,0.404,0.0243
103,0.0,148.0,13.5,7.0,-17.0,65.2,92.0,0.3848,0.0243
104,0.0,211.0,2.3,51.0,-1.0,107.1,106.0,0.4418,0.0258
105,0.0,236.0,2.1,12.0,-25.0,107.8,133.0,0.4561,0.0262
106,0.0,108.0,8.4,6.0,17.0,26.2,135.0,0.4327,0.0235
107,0.0,218.0,2.5,4.0,-34.0,16.9,104.0,0.3917,0.0251
108,0.0,166.0,8.8,4.0,-35.0,77.0,108.0,0.3935,0.0246
109,0.0,238.0,11.2,5.0,-22.0,99.5,98.0,0.4569,0.0254
110,0.0,155.0,9.3,4.0,28.0,12.2,97.0,0.3707,0.0241
111,0.0,145.0,8.8,72.0,28.0,4.4,119.0,0.447,0.0236
112,0.0,210.0,2.0,10.0,-42.0,30.4,112.0,0.3884,0.0251
113,0.0,129.0,3.6,11.0,-8.0,33.6,123.0,0.383,0.0241
114,0.0,168.0,11.3,16.0,-43.0,13.6,106.0,0.411,0.0242
115,0.0,215.0,1.6,5.0,0.0,58.4,147.0,0.4078,0.0254
116,0.0,165.0,9.6,4.0,2.0,98.8,90.0,0.3687,0.0252
117,0.0,188.0,9.6,90.0,5.0,68.3,76.0,0.406,0.0251
118,0.0,132.0,9.4,6.0,6.0,84.9,80.0,0.3983,0.0239
119,0.0,162.0,10.5,4.0,-13.0,27.2,90.0,0.3453,0.0242
120,0.0,127.0,11.6,40.0,44.0,62.6,85.0,0.4026,0.0239
121,0.0,130.0,9.4,8.0,33.0,7.1,103.0,0.4377,0.0236
122,0.0,146.0,6.5,8.0,-38.0,101.6,102.0,0.3949,0.0245
123,0.0,233.0,11.1,9.0,-40.0,3.3,83.0,0.3901,0.0255
124,0.0,152.0,13.6,36.0,35.0,23.0,77.0,0.4527,0.0238
125,0.0,238.0,13.8,33.0,-33.0,15.4,92.0,0.4088,0.0255
126,0.0,139.0,12.7,16.0,-38.0,118.6,74.0,0.3936,0.0251
127,0.0,226.0,13.7,6.0,45.0,32.2,89.0,0.4852,0.0255
128,0.0,122.0,10.3,5.0,-17.0,7.3,113.0,0.401,0.0238
129,0.0,130.0,2.2,5.0,6.0,63.4,117.0,0.365,0.024
130,0.0,121.0,15.0,18.0,21.0,75.0,85.0,0.3986,0.0238
131,0.0,128.0,12.5,360.0,0.0,2.2,82.0,0.5003,0.0238
132,0.0,212.0,5.8,120.0,38.0,88.9,99.0,0.5003,0.0254
133,0.0,158.0,4.3,12.0,29.0,109.6,85.0,0.4033,0.0246
134,0.0,154.0,14.9,9.0,-1.0,19.5,99.0,0.4121,0.0241
135,0.0,209.0,1.8,14.0,44.0,21.0,143.0,0.4539,0.0244
136,0.0,245.0,11.2,120.0,27.0,85.8,70.0,0.5533,0.0252
137,0.0,116.0,1.4,28.0,26.0,38.9,128.0,0.3427,0.0238
138,0.0,178.0,1.1,5.0,-23.0,110.9,126.0,0.3881,0.0254
139,0.0,150.0,11.6,16.0,14.0,91.4,67.0,0.3685,0.0247
140,0.0,102.0,4.4,24.0,28.0,89.4,73.0,0.3948,0.0234
141,0.0,103.0,6.3,8.0,-29.0,6.7,127.0,0.4105,0.0235
142,0.0,232.0,2.3,5.0,24.0,64.5,104.0,0.4583,0.0256
143,0.0,199.0,7.6,5.0,-9.0,34.4,103.0,0.3753,0.025
144,0.0,193.0,1.1,14.0,-4.0,50.8,126.0,0.3856,0.0249
145,0.0,96.0,7.0,6.0,-8.0,52.1,124.0,0.3706,0.0235
146,0.0,186.0,2.1,4.0,-3.0,3.6,143.0,0.4133,0.0242
147,0.0,109.0,10.8,19.0,32.0,25.6,100.0,0.3968,0.0238
148,0.0,131.0,7.4,12.0,6.0,2.4,91.0,0.4219,0.0237
149,0.0,230.0,7.6,4.0,-32.0,74.7,110.0,0.4435,0.0264
150,0.0,181.0,7.1,15.0,-44.0,48.8,83.0,0.3629,0.0248
151,0.0,195.0,12.2,9.0,38.0,106.8,77.0,0.438,0.0253
152,0.0,139.0,5.4,7.0,37.0,24.5,96.0,0.4024,0.0241
153,0.0,180.0,3.9,30.0,-15.0,78.2,85.0,0.3719,0.025
154,0.0,166.0,8.0,7.0,-31.0,69.4,94.0,0.4053,0.0244
155,0.0,216.0,2.6,12.0,22.0,88.5,119.0,0.4392,0.0258
156,0.0,107.0,3.7,26.0,2.0,116.5,93.0,0.3838,0.0237
157,0.0,136.0,4.8,6.0,-22.0,59.0,110.0,0.3985,0.0239
158,0.0,248.0,10.6,8.0,39.0,18.4,101.0,0.4827,0.0253
159,0.0,239.0,6.8,5.0,18.0,42.8,116.0,0.4401,0.0256
160,0.0,100.0,2.6,8.0,27.0,96.4,114.0,0.391,0.0234
161,0.0,221.0,5.1,16.0,-44.0,117.8,106.0,0.4571,0.0266
162,0.0,253.0,14.5,15.0,-5.0,33.4,87.0,0.4601,0.0251
163,0.0,220.0,6.4,6.0,-7.0,90.3,94.0,0.4205,0.0258
164,0.0,214.0,1.4,13.0,11.0,2.1,126.0,0.4103,0.0249
165,0.0,162.0,8.7,5.0,-37.0,35.1,97.0,0.3785,0.0245
166,0.0,98.0,4.5,6.0,-42.0,71.2,104.0,0.3659,0.0234
167,0.0,173.0,11.7,6.0,-14.0,9.0,94.0,0.3775,0.0244
168,0.0,180.0,8.3,5.0,26.0,83.5,85.0,0.4021,0.0249
169,0.0,194.0,1.5,5.0,40.0,115.4,128.0,0.4848,0.0256
170,0.0,141.0,12.0,22.0,5.0,51.4,80.0,0.4058,0.024
171,0.0,161.0,1.2,16.0,18.0,66.3,131.0,0.4111,0.0242
172,0.0,123.0,3.8,24.0,7.0,69.7,96.0,0.4152,0.0234
173,0.0,212.0,12.8,4.0,-16.0,17.9,92.0,0.4018,0.025
174,0.0,201.0,8.5,4.0,7.0,16.6,108.0,0.3873,0.025
175,0.0,133.0,7.5,22.0,23.0,64.0,85.0,0.3801,0.024
176,0.0,208.0,4.2,4.0,-2.0,112.6,95.0,0.4296,0.026
177,0.0,194.0,7.0,7.0,18.0,48.3,89.0,0.3956,0.0252
178,0.0,227.0,9.9,5.0,25.0,109.2,89.0,0.5074,0.0259
179,0.0,252.0,13.7,7.0,-35.0,38.6,92.0,0.4422,0.0258
180,0.0,173.0,12.9,18.0,-27.0,41.8,73.0,0.404,0.0245
181,0.0,234.0,13.1,33.0,-33.0,68.0,72.0,0.4456,0.0257
182,0.0,153.0,8.0,22.0,-18.0,38.3,81.0,0.346,0.0242
183,0.0,233.0,13.6,36.0,37.0,51.2,71.0,0.4706,0.0252
184,0.0,189.0,10.3,12.0,21.0,5.4,95.0,0.4029,0.0246
185,0.0,169.0,9.5,13.0,9.0,37.6,94.0,0.373,0.0245
186,0.0,196.0,11.4,9.0,43.0,55.1,92.0,0.4296,0.0253
187,0.0,220.0,7.8,21.0,-6.0,29.1,101.0,0.4082,0.0252
188,0.0,185.0,13.4,7.0,-35.0,40.9,92.0,0.4119,0.0247
189,0.0,201.0,7.8,4.0,-9.0,69.0,93.0,0.4097,0.0252
190,0.0,118.0,14.8,7.0,11.0,65.7,85.0,0.3792,0.0238
191,0.0,157.0,5.7,9.0,41.0,60.1,96.0,0.4055,0.0244
192,0.0,223.0,10.4,6.0,-45.0,75.8,104.0,0.4284,0.0255
193,0.0,202.0,7.3,36.0,30.0,43.7,88.0,0.4319,0.0249
194,0.0,200.0,11.7,8.0,-4.0,44.6,93.0,0.4125,0.0249
195,0.0,144.0,11.8,8.0,39.0,37.3,92.0,0.4043,0.0242
196,0.0,161.0,11.9,5.0,-36.0,101.3,93.0,0.3824,0.0252
197,0.0,150.0,9.9,30.0,-44.0,72.1,73.0,0.3945,0.0241
198,0.0,105.0,4.1,6.0,-7.0,100.3,94.0,0.3741,0.0236
199,0.0,102.0,8.7,12.0,42.0,81.4,78.0,0.371,0.0234
200,0.0,184.0,5.9,90.0,-30.0,1.6,108.0,0.404,0.0245
201,0.0,125.0,14.3,7.0,43.0,92.3,100.0,0.3761,0.0239
202,0.0,172.0,11.8,11.0,-28.0,74.3,63.0,0.3505,0.0249
203,0.0,151.0,9.7,7.0,32.0,116.2,89.0,0.3783,0.0252
204,0.0,190.0,4.6,5.0,-35.0,65.8,112.0,0.3917,0.025
205,0.0,95.0,10.7,8.0,-1.0,57.1,107.0,0.4164,0.0231
206,0.0,243.0,14.0,9.0,13.0,10.9,99.0,0.4493,0.0256
207,0.0,207.0,7.7,180.0,-13.0,104.1,100.0,0.4582,0.0254
208,0.0,105.0,4.1,4.0,8.0,22.2,108.0,0.4162,0.0236
209,0.0,176.0,14.6,8.0,-30.0,103.2,80.0,0.3933,0.0257
210,0.0,203.0,12.3,4.0,35.0,55.3,82.0,0.4214,0.0252
211,0.0,160.0,8.4,11.0,2.0,119.4,83.0,0.4013,0.0255
212,0.0,117.0,13.5,20.0,-24.0,92.0,76.0,0.3741,0.0238
213,0.0,136.0,4.7,360.0,0.0,2.4,89.0,0.4914,0.0238
214,0.0,102.0,8.7,12.0,-41.0,100.3,97.0,0.3645,0.0237
215,0.0,182.0,1.5,4.0,25.0,82.1,120.0,0.3829,0.0251
216,0.0,216.0,6.4,4.0,31.0,77.3,96.0,0.4881,0.0257
217,0.0,155.0,8.6,19.0,-13.0,82.8,80.0,0.3627,0.0247
218,0.0,251.0,3.4,45.0,0.0,84.1,113.0,0.4703,0.0257
219,0.0,147.0,4.3,6.0,36.0,108.8,107.0,0.3826,0.0243
220,0.0,249.0,8.3,7.0,15.0,73.8,91.0,0.4939,0.0258
221,0.0,253.0,8.2,6.0,-19.0,48.0,98.0,0.4457,0.0257
222,0.0,199.0,12.6,5.0,-5.0,114.1,82.0,0.4319,0.026
223,0.0,107.0,9.2,5.0,45.0,57.7,100.0,0.4016,0.0238
224,0.0,248.0,2.8,6.0,-11.0,27.6,86.0,0.4268,0.0256
225,0.0,158.0,1.9,26.0,29.0,5.9,127.0,0.416,0.0241
226,0.0,223.0,12.5,5.0,-6.0,31.3,87.0,0.4107,0.0255
227,0.0,190.0,5.4,4.0,42.0,19.1,115.0,0.4129,0.0249
228,0.0,250.0,6.6,21.0,-34.0,26.8,98.0,0.4376,0.0254
229,0.0,134.0,9.1,4.0,32.0,71.8,89.0,0.3557,0.0241
230,0.0,191.0,1.7,8.0,31.0,56.2,134.0,0.4004,0.0249
231,0.0,169.0,1.7,10.0,-21.0,30.2,121.0,0.4134,0.0242
232,0.0,232.0,11.0,5.0,-40.0,24.1,90.0,0.4049,0.0255
233,0.0,255.0,9.8,7.0,-33.0,114.3,96.0,0.5067,0.0263
234,0.0,191.0,11.0,60.0,23.0,32.8,80.0,0.4501,0.0246
235,0.0,207.0,14.6,5.0,-37.0,90.0,83.0,0.4084,0.026
236,0.0,171.0,14.0,14.0,38.0,75.8,77.0,0.3987,0.0248
237,0.0,100.0,13.4,5.0,-37.0,67.0,79.0,0.3851,0.0233
238,0.0,241.0,14.0,4.0,16.0,40.3,105.0,0.4915,0.0257
239,0.0,148.0,5.3,6.0,15.0,86.6,110.0,0.3954,0.0243
240,0.0,244.0,7.3,14.0,-17.0,102.0,93.0,0.4514,0.0259
241,0.0,175.0,14.9,17.0,1.0,108.1,77.0,0.4141,0.0256
242,0.0,115.0,7.5,4.0,-30.0,57.1,114.0,0.3679,0.0238
243,0.0,226.0,14.7,5.0,-14.0,63.2,76.0,0.4362,0.0258
244,0.0,206.0,10.7,19.0,-27.0,114.8,68.0,0.4456,0.0265
245,0.0,237.0,9.0,8.0,-10.0,17.4,102.0,0.4279,0.0252
246,0.0,192.0,10.1,360.0,-26.0,31.7,74.0,0.5707,0.0238
247,0.0,165.0,4.5,60.0,-31.0,49.0,70.0,0.4081,0.024
248,0.0,174.0,10.5,360.0,-23.0,106.2,81.0,0.6193,0.0233
249,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.3865,0.0234
250,0.0,95.0,10.0,360.0,0.0,1.7,87.0,0.4488,0.0236
251,0.0,200.0,10.0,360.0,0.0,3.5,78.0,0.56,0.0235
264,1.0,0.0,0.0,0.0,0.0,0.0,626.0,0.3772,0.0236
265,1.0,95.0,10.0,360.0,0.0,1.7,382.0,0.2971,0.0225
266,1.0,200.0,10.0,360.0,0.0,3.5,303.0,0.3588,0.024
267,1.0,159.2,5.8,330.0,29.8,57.6,255.0,0.3376,0.0237
268,1.0,116.2,1.1,52.0,39.6,35.7,621.0,0.2911,0.0241
269,1.0,190.7,4.6,338.0,21.6,46.5,369.0,0.3489,0.024
